,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology
143,AB-02-005,3,19,Di11,TriC,2,3,H1,1,827.4734127545,827.47759,828.48238,11230000.0,2+3
144,AB-02-005,3,19,Di11,TriC,2,3,Na1,1,849.4553570035,849.46053,850.46277,14510000.0,2+3
145,AB-02-005,3,20,Di12,TriC,2,3,H2,2,414.2783470846,414.28006,414.78187,9703000.0,2+3
146,AB-02-005,3,20,Di12,TriC,2,3,Na1,1,849.5308133863,849.53437,850.53822,4221000.0,2+3
147,AB-02-005,3,21,Di13,TriC,2,3,H2,2,588.294787276,588.29638,588.79783,9689000.0,2+3
148,AB-02-005,3,21,Di13,TriC,2,3,Na2,2,610.276731525,610.28093,610.78194,269200.0,2+3
149,AB-02-005,3,21,Di13,TriC,2,3,H1,1,1175.5817495201,1175.58807,1176.5911,8423000.0,2+3
150,AB-02-005,3,21,Di13,TriC,2,3,Na1,1,1197.5636937691,1197.56929,1198.57285,5108000.0,2+3
151,AB-02-005,3,23,Di15,TriC,2,3,H2,2,519.2865671803,519.28825,519.78924,5824000.0,2+3
152,AB-02-005,3,23,Di15,TriC,2,3,H1,1,1037.5653093287,1037.5695,1038.57289,3369000.0,2+3
153,AB-02-005,3,23,Di15,TriC,2,3,Na1,1,1059.5472535777,1059.55102,1060.55489,720800.0,2+3
154,AB-02-005,3,24,Di16,TriC,4,6,H2,2,1061.7531100943002,1061.75902,1062.26042,492200.0,4+6
155,AB-02-005,3,24,Di16,TriC,4,6,H1,1,2122.4983951567006,2122.49856,2123.50317,215000.0,4+6
156,AB-02-005,3,27,Di11,TriD,2,3,H2,2,517.3079701803,517.31213,517.81095,7297000.0,2+3
157,AB-02-005,3,27,Di11,TriD,2,3,H1,1,1033.6081153287,1033.614,1034.6168,8850000.0,2+3
158,AB-02-005,3,27,Di11,TriD,2,3,Na1,1,1055.5900595777,1055.59555,1056.59903,742300.0,2+3
159,AB-02-005,3,27,Di11,TriD,2,3,K1,1,1071.5639969768001,1071.56815,1072.57101,207800.0,2+3
160,AB-02-005,3,27,Di11,TriD,4,6,H1,1,2066.2084056255003,2066.21017,2067.2136,289300.0,4+6
161,AB-02-005,3,27,Di11,TriD,4,6,Na1,1,2088.1903498745,2088.19335,2089.19329,17870.0,4+6
162,AB-02-005,3,28,Di12,TriD,2,3,H1,1,1033.6835717115,1033.68908,1034.69218,6915000.0,2+3
163,AB-02-005,3,28,Di12,TriD,2,3,Na1,1,1055.6655159605,1055.67087,1056.67759,124800.0,2+3
164,AB-02-005,3,29,Di13,TriD,2,3,H2,2,691.3621385631,691.36434,691.86635,3534000.0,2+3
165,AB-02-005,3,29,Di13,TriD,2,3,H1,1,1381.7164520943,1381.72354,1382.72675,2626000.0,2+3
166,AB-02-005,3,29,Di13,TriD,2,3,Na1,1,1403.6983963433,1403.70458,1404.70839,4097000.0,2+3
167,AB-02-005,3,29,Di13,TriD,2,3,K1,1,1419.6723337424,1419.67689,1420.67977,307600.0,2+3
168,AB-02-005,3,30,Di14,TriD,2,3,H2,2,478.28449508460005,478.28573,478.78722,4351000.0,2+3
169,AB-02-005,3,30,Di14,TriD,2,3,H1,1,955.5611651373001,955.56633,956.56904,11660000.0,2+3
170,AB-02-005,3,30,Di14,TriD,2,3,Na1,1,977.5431093863001,977.54729,978.5505,2793000.0,2+3
171,AB-02-005,3,30,Di14,TriD,2,3,K1,1,993.5170467854001,993.52132,994.52378,710700.0,2+3
172,AB-02-005,3,30,Di14,TriD,4,6,H1,1,1910.1145052427003,1910.11125,1911.1167,115900.0,4+6
173,AB-02-005,3,31,Di15,TriD,2,3,H2,2,622.3539184674,622.35566,622.85709,4655000.0,2+3
174,AB-02-005,3,31,Di15,TriD,2,3,Na2,2,644.3358627164,644.34018,644.84077,302200.0,2+3
175,AB-02-005,3,31,Di15,TriD,2,3,H1,1,1243.7000119029,1243.70737,1244.71067,10110000.0,2+3
176,AB-02-005,3,31,Di15,TriD,2,3,Na1,1,1265.6819561519,1265.68769,1266.69126,775300.0,2+3
177,AB-02-005,3,31,Di15,TriD,2,3,K1,1,1281.6558935510002,1281.66044,1282.66448,377100.0,2+3
178,AB-02-005,3,31,Di15,TriD,4,6,H1,1,2486.3921987739004,2486.39411,2487.39805,56810.0,4+6
179,AB-02-005,3,32,Di16,TriD,4,6,H2,2,1267.8878126685001,1267.8925,1268.39446,1315000.0,4+6
180,AB-02-005,3,32,Di16,TriD,4,6,H1,1,2534.7678003051005,2534.77335,2535.7785,1095000.0,4+6
181,AB-02-005,3,32,Di16,TriD,4,6,H4N1,1,2551.7943494008005,2551.77534,2552.78446,26630.0,4+6
182,AB-02-005,3,35,Di11,TriE,2,3,H2,2,456.2875690846,456.2893,456.79076,9412000.0,2+3
183,AB-02-005,3,35,Di11,TriE,2,3,H1,1,911.5673131373001,911.5738,912.57567,18250000.0,2+3
184,AB-02-005,3,35,Di11,TriE,2,3,Na1,1,933.5492573863,933.55401,934.55643,1817000.0,2+3
185,AB-02-005,3,36,Di12,TriE,2,3,H2,2,456.325297276,456.32692,456.82832,5588000.0,2+3
186,AB-02-005,3,36,Di12,TriE,2,3,H1,1,911.6427695201,911.65025,912.65158,16540000.0,2+3
187,AB-02-005,3,38,Di14,TriE,2,3,H2,2,417.2640939889,417.26526,417.77097,1763000.0,2+3
188,AB-02-005,3,38,Di14,TriE,2,3,H1,1,833.5203629459,833.52726,834.52832,16890000.0,2+3
189,AB-02-005,3,38,Di14,TriE,2,3,Na1,1,855.5023071949,855.50595,856.50931,4010000.0,2+3
190,AB-02-005,3,39,Di15,TriE,2,3,H1,1,1121.6592097115,1121.66583,1122.66929,1539000.0,2+3
191,AB-02-005,3,39,Di15,TriE,2,3,Na1,1,1143.6411539604999,1143.64718,1144.64978,67750.0,2+3
192,AB-02-005,3,40,Di16,TriE,2,3,H2,2,573.4274177545,573.43286,573.93319,1385000.0,2+3
193,AB-02-005,3,40,Di16,TriE,2,3,H1,1,1145.8470104771,1145.85384,1146.85786,5404000.0,2+3
194,AB-02-005,3,40,Di16,TriE,2,3,Na1,1,1167.8289547261,1167.83974,1168.84281,73360.0,2+3
195,AB-02-005,4,1,Di17,TriM,2,3,H1,1,853.4018705631,853.40848,854.4103,756200.0,2+3
196,AB-02-005,4,1,Di17,TriM,2,3,Na1,1,875.3838148121,875.38995,876.39501,82640.0,2+3
197,AB-02-005,4,2,Di18,TriM,2,3,H2,2,490.27527308460003,490.27672,490.77915,3241000.0,2+3
198,AB-02-005,4,2,Di18,TriM,2,3,H1,1,979.5427211373001,979.54858,980.5519,7815000.0,2+3
199,AB-02-005,4,2,Di18,TriM,4,6,H1,1,1958.0776172427002,1958.07954,1959.083,62420.0,4+6
200,AB-02-005,4,7,Di23,TriM,4,6,H1,1,2030.0776172427002,2030.07631,2031.08206,91650.0,4+6
201,AB-02-005,4,8,Di24,TriM,2,3,H2,2,508.27527308460003,508.2769,508.77776,2127000.0,2+3
202,AB-02-005,4,8,Di24,TriM,2,3,H1,1,1015.5427211373001,1015.54741,1016.55066,5043000.0,2+3
203,AB-02-005,4,8,Di24,TriM,2,3,Na1,1,1037.5246653863,1037.52912,1038.53265,295300.0,2+3
204,AB-02-005,4,8,Di24,TriM,6,9,H2,2,1522.8101691900001,1522.8067,1523.3187,19310.0,6+9
205,AB-02-005,4,8,Di24,TriM,4,6,H1,1,2030.0776172427002,2030.07732,2031.08219,365600.0,4+6
206,AB-02-005,4,8,Di24,TriM,4,6,Na1,1,2052.0595614917,2052.05525,2053.06208,28170.0,4+6
207,AB-02-005,4,10,Di18,TriN,2,3,H2,2,490.27527308460003,490.27562,490.7784,5143000.0,2+3
208,AB-02-005,4,10,Di18,TriN,2,3,H1,1,979.5427211373001,979.54795,980.55101,5769000.0,2+3
209,AB-02-005,4,10,Di18,TriN,2,3,Na1,1,1001.5246653863001,1001.52957,1002.53385,1010000.0,2+3
210,AB-02-005,4,10,Di18,TriN,2,3,K1,1,1017.4986027854001,1017.50212,1018.50775,37280.0,2+3
211,AB-02-005,4,12,Di20,TriN,2,3,H2,2,655.2987481803,655.30262,655.80357,229300.0,2+3
212,AB-02-005,4,12,Di20,TriN,2,3,H1,1,1309.5896713287,1309.59743,1310.60007,363400.0,2+3
213,AB-02-005,4,12,Di20,TriN,2,3,Na1,1,1331.5716155777,1331.57887,1332.58144,136300.0,2+3
214,AB-02-005,4,13,Di21,TriN,2,3,H2,2,637.2441704889001,637.24873,637.7482,1398000.0,2+3
215,AB-02-005,4,13,Di21,TriN,2,3,Na2,2,659.2261147379,659.23127,659.73061,49690.0,2+3
216,AB-02-005,4,13,Di21,TriN,2,3,H1,1,1273.4805159459002,1273.48749,1274.49095,1185000.0,2+3
217,AB-02-005,4,13,Di21,TriN,2,3,Na1,1,1295.4624601949001,1295.46812,1296.47184,1130000.0,2+3
218,AB-02-005,4,15,Di23,TriN,2,3,H1,1,1015.5427211373001,1015.5479,1016.55161,4887000.0,2+3
219,AB-02-005,4,16,Di24,TriN,2,3,H1,1,1015.5427211373001,1015.54811,1016.55156,4980000.0,2+3
220,AB-02-005,4,16,Di24,TriN,2,3,Na1,1,1037.5246653863,1037.52883,1038.53309,999400.0,2+3
221,AB-02-005,4,25,Di17,TriP,2,3,H1,1,793.2774601803,793.2784,794.28184,99720.0,2+3
222,AB-02-005,4,26,Di18,TriP,2,3,H2,2,460.2130678932,460.21693,460.71899,90370.0,2+3
